benchmark_group,sigma,first_method,second_method,difference,metric,images,mean_difference,std_difference,median_difference,ci95_low,ci95_high,wins,ties,losses,win_percentage
geometry,0.15,U-Tikhonov T16/CG64,U-Tikhonov T16/CG32,U-Tikhonov T16/CG64 - U-Tikhonov T16/CG32,PSNR,5,-0.2870548248291023,0.32040127739520424,-0.16321563720703125,-0.5755691528320312,-0.10642318725585938,0,0,5,0.0
geometry,0.15,U-Tikhonov T16/CG64,U-Tikhonov T16/CG32,U-Tikhonov T16/CG64 - U-Tikhonov T16/CG32,SSIM,5,-0.005908977985382124,0.002951976724188071,-0.006664156913757435,-0.008011150360107466,-0.0033386826515198866,0,0,5,0.0
geometry,0.2,U-Tikhonov T16/CG32,U-Tikhonov T4/CG32,U-Tikhonov T16/CG32 - U-Tikhonov T4/CG32,PSNR,5,0.8433521270751954,0.2987581988585921,0.9039478302001953,0.6032416152954105,1.0761104583740235,5,0,0,100.0
geometry,0.2,U-Tikhonov T16/CG32,U-Tikhonov T4/CG32,U-Tikhonov T16/CG32 - U-Tikhonov T4/CG32,SSIM,5,0.10839473009109499,0.01249340955015261,0.11221837997436523,0.09748965501785285,0.11655271053314209,5,0,0,100.0
geometry,0.2,U-Tikhonov T16/CG64,U-Tikhonov T4/CG64,U-Tikhonov T16/CG64 - U-Tikhonov T4/CG64,PSNR,5,0.903120422363284,0.2306081461520341,0.903356552124027,0.724118423461919,1.0821224212646492,5,0,0,100.0
geometry,0.2,U-Tikhonov T16/CG64,U-Tikhonov T4/CG64,U-Tikhonov T16/CG64 - U-Tikhonov T4/CG64,SSIM,5,0.09992498159408565,0.014427843277909243,0.10063040256500244,0.08791799545288084,0.11119720935821524,5,0,0,100.0
geometry,0.2,U-Tikhonov T4/CG64,U-Tikhonov T4/CG32,U-Tikhonov T4/CG64 - U-Tikhonov T4/CG32,PSNR,5,-0.245306777954103,0.1999703479930379,-0.2525272369384801,-0.4116558074951172,-0.10436058044433665,0,0,5,0.0
geometry,0.2,U-Tikhonov T4/CG64,U-Tikhonov T4/CG32,U-Tikhonov T4/CG64 - U-Tikhonov T4/CG32,SSIM,5,0.0018971920013427734,0.001752536735848979,0.0012124180793762207,0.0009006381034851075,0.003467965126037598,5,0,0,100.0
geometry,0.2,U-Tikhonov T16/CG64,U-Tikhonov T16/CG32,U-Tikhonov T16/CG64 - U-Tikhonov T16/CG32,PSNR,5,-0.1855384826660142,0.18899080782970368,-0.11315536499023438,-0.3568138122558565,-0.0876739501953125,0,0,5,0.0
geometry,0.2,U-Tikhonov T16/CG64,U-Tikhonov T16/CG32,U-Tikhonov T16/CG64 - U-Tikhonov T16/CG32,SSIM,5,-0.0065725564956665705,0.0033653899558478474,-0.007401764392852894,-0.008877480030059837,-0.0035211801528931773,0,0,5,0.0
