method,repeat,batch_index,batch_size,runtime_sec,runtime_ms_per_image
U-Tikhonov T4/CG32,2,5,1,0.05932924999797251,59.32924999797251
U-Tikhonov T4/CG32,2,6,1,0.05979204099276103,59.79204099276103
U-Tikhonov T4/CG32,2,7,1,0.06055762499454431,60.55762499454431
U-Tikhonov T4/CG32,2,8,1,0.06003158299427014,60.03158299427014
U-Tikhonov T4/CG32,2,9,1,0.05994108300365042,59.94108300365042
U-Tikhonov T4/CG32,3,0,1,0.0594392499915557,59.4392499915557
U-Tikhonov T4/CG32,3,1,1,0.05971245901309885,59.71245901309885
U-Tikhonov T4/CG32,3,2,1,0.05936716700671241,59.36716700671241
U-Tikhonov T4/CG32,3,3,1,0.059633540993672796,59.633540993672796
U-Tikhonov T4/CG32,3,4,1,0.05967445900023449,59.67445900023449
U-Tikhonov T4/CG32,3,5,1,0.06037183399894275,60.37183399894275
U-Tikhonov T4/CG32,3,6,1,0.06071608400088735,60.71608400088735
U-Tikhonov T4/CG32,3,7,1,0.060661084004095756,60.661084004095756
U-Tikhonov T4/CG32,3,8,1,0.05990670899336692,59.90670899336692
U-Tikhonov T4/CG32,3,9,1,0.058864958002232015,58.864958002232015
U-Tikhonov T4/CG32,4,0,1,0.05861141599598341,58.61141599598341
U-Tikhonov T4/CG32,4,1,1,0.06315529100538697,63.15529100538697
U-Tikhonov T4/CG32,4,2,1,0.07595954200951383,75.95954200951383
U-Tikhonov T4/CG32,4,3,1,0.08057404099963605,80.57404099963605
U-Tikhonov T4/CG32,4,4,1,0.07842274999711663,78.42274999711663
U-Tikhonov T4/CG32,4,5,1,0.07907158401212655,79.07158401212655
U-Tikhonov T4/CG32,4,6,1,0.06782025001302827,67.82025001302827
U-Tikhonov T4/CG32,4,7,1,0.059482875003595836,59.48287500359584
U-Tikhonov T4/CG32,4,8,1,0.05973645899211988,59.73645899211988
U-Tikhonov T4/CG32,4,9,1,0.05935937499452848,59.35937499452848
U-Tikhonov T4/CG64,0,0,1,0.10550779200275429,105.50779200275429
U-Tikhonov T4/CG64,0,1,1,0.10913820899440907,109.13820899440907
U-Tikhonov T4/CG64,0,2,1,0.10838895800407045,108.38895800407045
U-Tikhonov T4/CG64,0,3,1,0.11336345800373238,113.36345800373238
U-Tikhonov T4/CG64,0,4,1,0.11048766699968837,110.48766699968837
U-Tikhonov T4/CG64,0,5,1,0.11211816599825397,112.11816599825397
U-Tikhonov T4/CG64,0,6,1,0.11389112500182819,113.89112500182819
U-Tikhonov T4/CG64,0,7,1,0.11003304200130515,110.03304200130515
U-Tikhonov T4/CG64,0,8,1,0.1084920840075938,108.4920840075938
U-Tikhonov T4/CG64,0,9,1,0.10834574999171309,108.34574999171309
U-Tikhonov T4/CG64,1,0,1,0.10498583399748895,104.98583399748895
U-Tikhonov T4/CG64,1,1,1,0.10913233300379943,109.13233300379943
U-Tikhonov T4/CG64,1,2,1,0.10665516699373256,106.65516699373256
U-Tikhonov T4/CG64,1,3,1,0.1099585830088472,109.9585830088472
U-Tikhonov T4/CG64,1,4,1,0.10716975000104867,107.16975000104867
U-Tikhonov T4/CG64,1,5,1,0.1087262500077486,108.7262500077486
U-Tikhonov T4/CG64,1,6,1,0.11131945899978746,111.31945899978746
U-Tikhonov T4/CG64,1,7,1,0.11028987501049414,110.28987501049414
U-Tikhonov T4/CG64,1,8,1,0.10850062500685453,108.50062500685453
U-Tikhonov T4/CG64,1,9,1,0.10928899999998976,109.28899999998976
U-Tikhonov T4/CG64,2,0,1,0.1062112090003211,106.2112090003211
U-Tikhonov T4/CG64,2,1,1,0.10827779200917576,108.27779200917576
U-Tikhonov T4/CG64,2,2,1,0.1070699580013752,107.0699580013752
U-Tikhonov T4/CG64,2,3,1,0.11029029099154286,110.29029099154286
U-Tikhonov T4/CG64,2,4,1,0.10722966700268444,107.22966700268444
U-Tikhonov T4/CG64,2,5,1,0.10938275000080466,109.38275000080466
U-Tikhonov T4/CG64,2,6,1,0.11028754200378899,110.28754200378899
U-Tikhonov T4/CG64,2,7,1,0.11065099999541417,110.65099999541417
U-Tikhonov T4/CG64,2,8,1,0.1087514579994604,108.7514579994604
U-Tikhonov T4/CG64,2,9,1,0.10825775000557769,108.25775000557769
U-Tikhonov T4/CG64,3,0,1,0.10727362500620075,107.27362500620075
U-Tikhonov T4/CG64,3,1,1,0.10901866600033827,109.01866600033827
U-Tikhonov T4/CG64,3,2,1,0.10751862499455456,107.51862499455456
U-Tikhonov T4/CG64,3,3,1,0.11007100000279024,110.07100000279024
U-Tikhonov T4/CG64,3,4,1,0.106806666997727,106.806666997727
U-Tikhonov T4/CG64,3,5,1,0.10920049999549519,109.20049999549519
U-Tikhonov T4/CG64,3,6,1,0.10919295900384896,109.19295900384896
U-Tikhonov T4/CG64,3,7,1,0.1099650000105612,109.9650000105612
U-Tikhonov T4/CG64,3,8,1,0.10906016700027976,109.06016700027976
U-Tikhonov T4/CG64,3,9,1,0.10900599999877159,109.00599999877159
U-Tikhonov T4/CG64,4,0,1,0.10501112499332521,105.01112499332521
U-Tikhonov T4/CG64,4,1,1,0.10839270900760312,108.39270900760312
U-Tikhonov T4/CG64,4,2,1,0.10722487499879207,107.22487499879207
U-Tikhonov T4/CG64,4,3,1,0.1097294169885572,109.7294169885572
U-Tikhonov T4/CG64,4,4,1,0.107303166994825,107.303166994825
U-Tikhonov T4/CG64,4,5,1,0.10891354200430214,108.91354200430214
U-Tikhonov T4/CG64,4,6,1,0.10949454200454056,109.49454200454056
U-Tikhonov T4/CG64,4,7,1,0.11125554201134946,111.25554201134946
U-Tikhonov T4/CG64,4,8,1,0.13055862500914373,130.55862500914373
U-Tikhonov T4/CG64,4,9,1,0.13068425000528805,130.68425000528805
U-Tikhonov T16/CG32,0,0,1,0.06062829199072439,60.62829199072439
U-Tikhonov T16/CG32,0,1,1,0.06311304200789891,63.11304200789891
U-Tikhonov T16/CG32,0,2,1,0.05810800001199823,58.10800001199823
U-Tikhonov T16/CG32,0,3,1,0.05832150000787806,58.32150000787806
U-Tikhonov T16/CG32,0,4,1,0.05903308298729826,59.03308298729826
U-Tikhonov T16/CG32,0,5,1,0.05974250000144821,59.74250000144821
U-Tikhonov T16/CG32,0,6,1,0.05920575000345707,59.20575000345707
U-Tikhonov T16/CG32,0,7,1,0.058363707998069,58.363707998069
U-Tikhonov T16/CG32,0,8,1,0.05968912500247825,59.68912500247825
U-Tikhonov T16/CG32,0,9,1,0.05907712499902118,59.07712499902118
U-Tikhonov T16/CG32,1,0,1,0.0591072079987498,59.1072079987498
U-Tikhonov T16/CG32,1,1,1,0.0587530839984538,58.7530839984538
U-Tikhonov T16/CG32,1,2,1,0.05878000000666361,58.78000000666361
U-Tikhonov T16/CG32,1,3,1,0.058641582989366725,58.641582989366725
U-Tikhonov T16/CG32,1,4,1,0.05943458298861515,59.43458298861515
U-Tikhonov T16/CG32,1,5,1,0.05932104199018795,59.32104199018795
U-Tikhonov T16/CG32,1,6,1,0.060384583004633896,60.384583004633896
U-Tikhonov T16/CG32,1,7,1,0.0613794999953825,61.3794999953825
U-Tikhonov T16/CG32,1,8,1,0.058781583997188136,58.781583997188136
U-Tikhonov T16/CG32,1,9,1,0.05930454199551605,59.30454199551605
U-Tikhonov T16/CG32,2,0,1,0.05950291600311175,59.50291600311175
U-Tikhonov T16/CG32,2,1,1,0.058998624997911975,58.998624997911975
U-Tikhonov T16/CG32,2,2,1,0.05931979100569151,59.31979100569151
U-Tikhonov T16/CG32,2,3,1,0.05946175000281073,59.46175000281073
U-Tikhonov T16/CG32,2,4,1,0.05913591699209064,59.13591699209064
U-Tikhonov T16/CG32,2,5,1,0.058861375000560656,58.861375000560656
U-Tikhonov T16/CG32,2,6,1,0.05924679200688843,59.24679200688843
U-Tikhonov T16/CG32,2,7,1,0.05858612500014715,58.58612500014715
U-Tikhonov T16/CG32,2,8,1,0.058801959006814286,58.801959006814286
U-Tikhonov T16/CG32,2,9,1,0.059402583006885834,59.402583006885834
U-Tikhonov T16/CG32,3,0,1,0.05897683301009238,58.97683301009238
U-Tikhonov T16/CG32,3,1,1,0.06266829201194923,62.668292011949234
U-Tikhonov T16/CG32,3,2,1,0.07413104199804366,74.13104199804366
U-Tikhonov T16/CG32,3,3,1,0.07714750000741333,77.14750000741333
U-Tikhonov T16/CG32,3,4,1,0.0644612500036601,64.4612500036601
U-Tikhonov T16/CG32,3,5,1,0.059459541997057386,59.459541997057386
U-Tikhonov T16/CG32,3,6,1,0.05941312499635387,59.41312499635387
U-Tikhonov T16/CG32,3,7,1,0.06207912499667145,62.07912499667145
U-Tikhonov T16/CG32,3,8,1,0.061082582993549295,61.082582993549295
U-Tikhonov T16/CG32,3,9,1,0.059700875004637055,59.700875004637055
U-Tikhonov T16/CG32,4,0,1,0.05896458298957441,58.96458298957441
U-Tikhonov T16/CG32,4,1,1,0.059181042001000606,59.181042001000606
U-Tikhonov T16/CG32,4,2,1,0.05725212499964982,57.25212499964982
U-Tikhonov T16/CG32,4,3,1,0.057847791002132,57.847791002132
U-Tikhonov T16/CG32,4,4,1,0.05707774999609683,57.07774999609683
U-Tikhonov T16/CG32,4,5,1,0.05809066699293908,58.09066699293908
U-Tikhonov T16/CG32,4,6,1,0.05811887499294244,58.11887499294244
U-Tikhonov T16/CG32,4,7,1,0.05765779101056978,57.65779101056978
U-Tikhonov T16/CG32,4,8,1,0.05829620800795965,58.29620800795965
U-Tikhonov T16/CG32,4,9,1,0.062360707990592346,62.360707990592346
U-Tikhonov T16/CG64,0,0,1,0.11372783299884759,113.72783299884759
U-Tikhonov T16/CG64,0,1,1,0.11286441700940486,112.86441700940486
U-Tikhonov T16/CG64,0,2,1,0.12374216598982457,123.74216598982457
U-Tikhonov T16/CG64,0,3,1,0.12707304098876193,127.07304098876193
U-Tikhonov T16/CG64,0,4,1,0.11374220899597276,113.74220899597276
U-Tikhonov T16/CG64,0,5,1,0.11399070800689515,113.99070800689515
U-Tikhonov T16/CG64,0,6,1,0.11487645898887422,114.87645898887422
U-Tikhonov T16/CG64,0,7,1,0.11628408399701584,116.28408399701584
U-Tikhonov T16/CG64,0,8,1,0.11165841700858437,111.65841700858437
U-Tikhonov T16/CG64,0,9,1,0.10972679199767299,109.72679199767299
U-Tikhonov T16/CG64,1,0,1,0.11148079199483618,111.48079199483618
U-Tikhonov T16/CG64,1,1,1,0.11085658399679232,110.85658399679232
U-Tikhonov T16/CG64,1,2,1,0.10995512499357574,109.95512499357574
U-Tikhonov T16/CG64,1,3,1,0.10853891698934603,108.53891698934603
